,mouse_lemur__gene_name,human__gene_name,mouse__gene_name,
91,MBOAT2,MBOAT2,Mboat2,
92,PLCXD2,PLCXD2,Plcxd2,
93,AKT1S1,AKT1S1,Akt1s1,
94,LOC105877660,SLC35E2B,Slc35e2,
95,HORMAD1,HORMAD1,Hormad1,
96,USP38,USP38,Usp38,
97,GABRA1,GABRA1,Gabra1,
98,CRABP1,CRABP1,Crabp1,
99,NBR1,NBR1,Nbr1,
100,RPRM,RPRM,Rprm,
101,KLF10,KLF10,Klf10,
102,CDH1,CDH1,Cdh1,
103,CALY,CALY,Caly,
104,SOX14,SOX14,Sox14,
105,INMT,INMT,Inmt,
106,ZNF200,ZNF200,Zfp65,
107,PARP8,PARP8,Parp8,
108,ASAP3,ASAP3,Asap3,
109,DCAF8,DCAF8,Dcaf8,
110,PMPCA,PMPCA,Pmpca,
111,TMEM64,TMEM64,Tmem64,
112,LRRIQ3,LRRIQ3,Lrriq3,
113,PSMB10,PSMB10,Psmb10,
114,ZNF551,ZNF551,Zfp551,
115,STAMBPL1,STAMBPL1,Stambpl1,
116,LZTFL1,LZTFL1,Lztfl1,
117,PAPPA,PAPPA,Pappa,
118,HDHD5,HDHD5,Hdhd5,
119,DSPP,DSPP,Dspp,
120,PGP,PGP,Pgp,
121,PRPF4,PRPF4,Prpf4,
122,LONRF1,LONRF1,Lonrf1,
123,KRT40,KRT40,Krt40,
124,CREB3,CREB3,Creb3,
125,TRABD,TRABD,Trabd,
126,CCDC138,CCDC138,Ccdc138,
127,NACA,NACA,Naca,
128,MTERF4,MTERF4,Mterf4,
129,CAPRIN2,CAPRIN2,Caprin2,
130,PIK3IP1,PIK3IP1,Pik3ip1,
131,SLC39A9,SLC39A9,Slc39a9,
132,MRPS2,MRPS2,Mrps2,
133,CNTD1,CNTD1,Cntd1,
134,NMD3,NMD3,Nmd3,
135,TRIM45,TRIM45,Trim45,
136,TP53TG5,TP53TG5,Trp53tg5,
137,OVCA2,OVCA2,Ovca2,
138,STX7,STX7,Stx7,
139,LCN12,LCN12,Lcn12,
140,BUB1B,BUB1B,Bub1b,
141,POLM,POLM,Polm,
142,CEP57L1,CEP57L1,Cep57l1,
143,PSMD10,PSMD10,Psmd10,
144,NEK11,NEK11,Nek11,
145,IDNK,IDNK,Idnk,
146,PFDN6,PFDN6,Pfdn6,
147,COPG2,COPG2,Copg2,
148,RBP4,RBP4,Rbp4,
149,AK7,AK7,Ak7,
150,TFIP11,TFIP11,Tfip11,
151,TOM1L2,TOM1L2,Tom1l2,
152,PLCL2,PLCL2,Plcl2,
153,DERL3,DERL3,Derl3,
154,TRAF4,TRAF4,Traf4,
155,TTC21A,TTC21A,Ttc21a,
156,RALBP1,RALBP1,Ralbp1,
157,FAM71E2,FAM71E2,Fam71e2,
158,TBX21,TBX21,Tbx21,
159,EMILIN1,EMILIN1,Emilin1,
160,PTPN9,PTPN9,Ptpn9,
161,ADORA1,ADORA1,Adora1,
162,SEMA4A,SEMA4A,Sema4a,
163,BTBD2,BTBD2,Btbd2,
164,EPHA4,EPHA4,Epha4,
165,HMOX2,HMOX2,Hmox2,
166,ZIC5,ZIC5,Zic5,
167,GPR101,GPR101,Gpr101,
168,C27H1orf21,C1orf21,1700025G04Rik,
169,NRG4,NRG4,Nrg4,
170,MAPKBP1,MAPKBP1,Mapkbp1,
171,HLF,HLF,Hlf,
172,KLF16,KLF16,Klf16,
173,IP6K3,IP6K3,Ip6k3,
174,SOCS4,SOCS4,Socs4,
175,TMEM25,TMEM25,Tmem25,
176,ASCC3,ASCC3,Ascc3,
177,HRG,HRG,Hrg,
178,USP7,USP7,Usp7,
179,UBE4A,UBE4A,Ube4a,
180,NIPBL,NIPBL,Nipbl,
181,MEAF6,MEAF6,Meaf6,
182,RMC1,RMC1,Rmc1,
183,TRIM33,TRIM33,Trim33,
184,POGLUT1,POGLUT1,Poglut1,
185,WDR83OS,WDR83OS,Wdr83os,
186,ATRN,ATRN,Atrn,
187,DHX38,DHX38,Dhx38,
188,FAM89B,FAM89B,Fam89b,
189,ADAMTS10,ADAMTS10,Adamts10,
190,MAML2,MAML2,Maml2,
191,EYA3,EYA3,Eya3,
192,GRK5,GRK5,Grk5,
193,GNA13,GNA13,Gna13,
194,SNX3,SNX3,Snx3,
195,USP53,USP53,Usp53,
196,ZFPL1,ZFPL1,Zfpl1,
197,KLHL4,KLHL4,Klhl4,
198,GRB7,GRB7,Grb7,
199,RIC1,RIC1,Ric1,
200,ANAPC11,ANAPC11,Anapc11,
201,KIAA0556,KIAA0556,D430042O09Rik,
202,DYNC1LI2,DYNC1LI2,Dync1li2,
203,ALDOB,ALDOB,Aldob,
204,HNF1B,HNF1B,Hnf1b,
205,PIK3CD,PIK3CD,Pik3cd,
206,SHCBP1L,SHCBP1L,Shcbp1l,
207,NFATC2,NFATC2,Nfatc2,
208,POLD3,POLD3,Pold3,
209,MAU2,MAU2,Mau2,
210,CDON,CDON,Cdon,
211,HKDC1,HKDC1,Hkdc1,
212,SALL1,SALL1,Sall1,
213,TM2D3,TM2D3,Tm2d3,
214,CTTNBP2NL,CTTNBP2NL,Cttnbp2nl,
215,SLC13A3,SLC13A3,Slc13a3,
216,ANKRD29,ANKRD29,Ankrd29,
217,KLHL34,KLHL34,Klhl34,
218,CLEC4E,CLEC4E,Clec4e,
219,PNLIPRP1,PNLIPRP1,Pnliprp1,
220,SFXN4,SFXN4,Sfxn4,
221,OLAH,OLAH,Olah,
222,ORC4,ORC4,Orc4,
223,SAMD1,SAMD1,Samd1,
224,C9orf72,C9orf72,C9orf72,
225,LOC105881243,CP,Cp,
226,COMMD8,COMMD8,Commd8,
227,LGI2,LGI2,Lgi2,
228,VPS25,VPS25,Vps25,
229,ARMC5,ARMC5,Armc5,
230,PTGDR2,PTGDR2,Ptgdr2,
231,FLT1,FLT1,Flt1,
232,EHMT2,EHMT2,Ehmt2,
233,KIAA1217,KIAA1217,Etl4,
234,SPX,SPX,Spx,
235,ERFL,ERFL,Erfl,
236,IL33,IL33,Il33,
237,IHH,IHH,Ihh,
238,ZMYND10,ZMYND10,Zmynd10,
239,TRIM25,TRIM25,Trim25,
240,USH1C,USH1C,Ush1c,
241,RPL18A,RPL18A,Rpl18a,
242,ZNF582,ZNF582,Gm3854,
243,C7H12orf42,C12orf42,1700113H08Rik,
244,TICRR,TICRR,Ticrr,
245,FAM83H,FAM83H,Fam83h,
246,CIB2,CIB2,Cib2,
247,DBNDD2,DBNDD2,Dbndd2,
248,MYO1A,MYO1A,Myo1a,
249,TCEAL8,TCEAL8,Tceal8,
250,LOC105868099,TEX49,4930415O20Rik,
251,HTRA2,HTRA2,Htra2,
252,NOCT,NOCT,Noct,
253,AP2S1,AP2S1,Ap2s1,
254,ALDH16A1,ALDH16A1,Aldh16a1,
255,TBK1,TBK1,Tbk1,
256,INA,INA,Ina,
257,FHL5,FHL5,Fhl5,
258,PORCN,PORCN,Porcn,
259,STBD1,STBD1,Stbd1,
260,ORMDL3,ORMDL3,Ormdl3,
261,GFM2,GFM2,Gfm2,
262,PPP6R2,PPP6R2,Ppp6r2,
263,ADAR,ADAR,Adar,
264,OSBPL10,OSBPL10,Osbpl10,
265,KANK2,KANK2,Kank2,
266,MUSK,MUSK,Musk,
267,MFAP5,MFAP5,Mfap5,
268,HBP1,HBP1,Hbp1,
269,AATK,AATK,Aatk,
270,ZRSR2,ZRSR2,Zrsr2,
271,NXPH2,NXPH2,Nxph2,
272,YKT6,YKT6,Ykt6,
273,LINS1,LINS1,Lins1,
274,ILF2,ILF2,Ilf2,
275,SERBP1,SERBP1,Serbp1,
276,HTR5A,HTR5A,Htr5a,
277,SCYL2,SCYL2,Scyl2,
278,SLC35A4,SLC35A4,Slc35a4,
279,LOC105869177,DEFB110,Defb41,
280,SLC37A2,SLC37A2,Slc37a2,
281,WFDC13,WFDC13,Wfdc13,
282,CDC123,CDC123,Cdc123,
283,LAMTOR5,LAMTOR5,Lamtor5,
284,RIBC2,RIBC2,Ribc2,
285,IRF2BPL,IRF2BPL,Irf2bpl,
286,RBL1,RBL1,Rbl1,
287,ARL5C,ARL5C,Arl5c,
288,STK10,STK10,Stk10,
289,PLK3,PLK3,Plk3,
290,FES,FES,Fes,
291,FAM172A,FAM172A,Fam172a,
292,CELSR2,CELSR2,Celsr2,
293,GNMT,GNMT,Gnmt,
294,TP53BP1,TP53BP1,Trp53bp1,
295,RBKS,RBKS,Rbks,
296,GAD1,GAD1,Gad1,
297,CXHXorf56,CXorf56,C330007P06Rik,
298,UFM1,UFM1,Ufm1,
299,NR0B2,NR0B2,Nr0b2,
300,KPNB1,KPNB1,Kpnb1,
301,NUDC,NUDC,Nudc,
302,FUT1,FUT1,Fut1,
303,EMC4,EMC4,Emc4,
304,MYF6,MYF6,Myf6,
305,LOC105877437,CYB5D1,Cyb5d1,
306,DCHS2,DCHS2,Dchs2,
307,GNPTAB,GNPTAB,Gnptab,
308,CPVL,CPVL,Cpvl,
309,GRIK2,GRIK2,Grik2,
310,ATP5ME,ATP5ME,Atp5k,
311,SPIN1,SPIN1,Spin1,
312,EIF2AK1,EIF2AK1,Eif2ak1,
313,CABS1,CABS1,Cabs1,
314,GNB5,GNB5,Gnb5,
315,ADGRL1,ADGRL1,Adgrl1,
316,SHLD2,SHLD2,Shld2,
317,PAK1,PAK1,Pak1,
318,FAM169A,FAM169A,Fam169a,
319,SOCS3,SOCS3,Socs3,
320,PLPPR4,PLPPR4,Plppr4,
321,ZKSCAN1,ZKSCAN1,Zkscan1,
322,PYGL,PYGL,Pygl,
323,BHLHA15,BHLHA15,Bhlha15,
324,ACAP1,ACAP1,Acap1,
325,CCNJL,CCNJL,Ccnjl,
326,P4HA3,P4HA3,P4ha3,
327,HEXIM2,HEXIM2,Hexim2,
328,KHDRBS2,KHDRBS2,Khdrbs2,
329,TREM2,TREM2,Trem2,
330,FNDC8,FNDC8,Fndc8,
331,KDM3B,KDM3B,Kdm3b,
332,PTAFR,PTAFR,Ptafr,
333,GRIPAP1,GRIPAP1,Gripap1,
334,MAD1L1,MAD1L1,Mad1l1,
335,NPR2,NPR2,Npr2,
336,ANXA2,ANXA2,Anxa2,
337,DSCAM,DSCAM,Dscam,
338,FBXO5,FBXO5,Fbxo5,
339,LOC105864759,OR4M1,Olfr734,
340,TAS1R1,TAS1R1,Tas1r1,
341,FGFBP1,FGFBP1,Fgfbp1,
342,TVP23C,TVP23C,Tvp23b,
343,PAPPA2,PAPPA2,Pappa2,
344,USP10,USP10,Usp10,
345,TBX18,TBX18,Tbx18,
346,KDF1,KDF1,Kdf1,
347,KRCC1,KRCC1,Krcc1,
348,SMOC2,SMOC2,Smoc2,
349,SPTLC2,SPTLC2,Sptlc2,
350,NELFCD,NELFCD,Nelfcd,
351,PPP1R12A,PPP1R12A,Ppp1r12a,
352,INSYN1,INSYN1,Insyn1,
353,TTC25,TTC25,Ttc25,
354,CD79B,CD79B,Cd79b,
355,RNF207,RNF207,Rnf207,
356,EXOC5,EXOC5,Exoc5,
357,DPY19L1,DPY19L1,Dpy19l1,
358,CASP8,CASP8,Casp8,
359,ESPL1,ESPL1,Espl1,
360,PPP4R4,PPP4R4,Ppp4r4,
361,NUDT14,NUDT14,Nudt14,
362,SPINK14,SPINK14,Spink14,
363,PARP1,PARP1,Parp1,
364,TCEANC,TCEANC,Tceanc,
365,PANK2,PANK2,Pank2,
366,MARK1,MARK1,Mark1,
367,BCL7C,BCL7C,Bcl7c,
368,CCDC39,CCDC39,Ccdc39,
369,SLC9A3R2,SLC9A3R2,Slc9a3r2,
370,NEFM,NEFM,Nefm,
371,SCIN,SCIN,Scin,
372,SNAPC5,SNAPC5,Snapc5,
373,CHMP7,CHMP7,Chmp7,
374,ILDR1,ILDR1,Ildr1,
375,XPC,XPC,Xpc,
376,CAPN15,CAPN15,Capn15,
377,NUP88,NUP88,Nup88,
378,LRRC75B,LRRC75B,Lrrc75b,
379,EGR3,EGR3,Egr3,
380,SLC27A6,SLC27A6,Slc27a6,
381,FKBP6,FKBP6,Fkbp6,
382,SNRPB2,SNRPB2,Snrpb2,
383,C13H13orf46,C13orf46,1700029H14Rik,
384,TIAL1,TIAL1,Tial1,
385,MED19,MED19,Med19,
386,LBHD2,LBHD2,Lbhd2,
387,C9,C9,C9,
388,STK17B,STK17B,Stk17b,
389,SLC16A4,SLC16A4,Slc16a4,
390,NOX4,NOX4,Nox4,
391,MCCC2,MCCC2,Mccc2,
392,SLC66A2,SLC66A2,Slc66a2,
393,DESI2,DESI2,Desi2,
394,FAM162A,FAM162A,Fam162a,
395,CIB4,CIB4,Cib4,
396,DRP2,DRP2,Drp2,
397,ATP1B4,ATP1B4,Atp1b4,
398,FOXN2,FOXN2,Foxn2,
399,CAPN10,CAPN10,Capn10,
400,IRF1,IRF1,Irf1,
401,KCTD13,KCTD13,Kctd13,
402,BSX,BSX,Bsx,
403,C7H12orf60,C12orf60,BC049715,
404,PIWIL4,PIWIL4,Piwil4,
405,TMEM52B,TMEM52B,Tmem52b,
406,NBN,NBN,Nbn,
407,ANKFY1,ANKFY1,Ankfy1,
408,C5H11orf1,C11orf1,1110032A03Rik,
409,FAM155A,FAM155A,Fam155a,
410,SLC7A9,SLC7A9,Slc7a9,
411,ERICH1,ERICH1,Erich1,
412,LOC105869738,USP46,Usp46,
413,PROM2,PROM2,Prom2,
414,PIEZO2,PIEZO2,Piezo2,
415,OGFOD3,OGFOD3,Ogfod3,
416,UNC13A,UNC13A,Unc13a,
417,SOCS2,SOCS2,Socs2,
418,DCST1,DCST1,Dcst1,
419,RHNO1,RHNO1,Rhno1,
420,HSD17B1,HSD17B1,Hsd17b1,
421,C9H8orf33,C8orf33,1110038F14Rik,
422,ITIH6,ITIH6,Itih5l-ps,
423,KCNK12,KCNK12,Kcnk12,
424,RAD18,RAD18,Rad18,
425,BAIAP3,BAIAP3,Baiap3,
426,ERN1,ERN1,Ern1,
427,MGAT4C,MGAT4C,Mgat4c,
428,CCNC,CCNC,Ccnc,
429,OSBPL7,OSBPL7,Osbpl7,
430,GNG5,GNG5,Gng5,
431,ASNS,ASNS,Asns,
432,NAPA,NAPA,Napa,
433,TIGD5,TIGD5,Tigd5,
434,CATSPERD,CATSPERD,Catsperd,
435,TMEM26,TMEM26,Tmem26,
436,LYRM2,LYRM2,Lyrm2,
437,HPX,HPX,Hpx,
438,GPR180,GPR180,Gpr180,
439,RFNG,RFNG,Rfng,
440,DDX28,DDX28,Ddx28,
441,GCSH,GCSH,Gcsh,
442,LOC105863693,PLXNA1,Plxna1,
443,AKIP1,AKIP1,Akip1,
444,TRIM8,TRIM8,Trim8,
445,ACTL9,ACTL9,Actl9,
446,LTF,LTF,Ltf,
447,SNCAIP,SNCAIP,Sncaip,
448,SLC35F1,SLC35F1,Slc35f1,
449,GTF2H4,GTF2H4,Gtf2h4,
450,UHRF2,UHRF2,Uhrf2,
451,SLX4,SLX4,Slx4,
452,RNASE13,RNASE13,Rnase13,
453,FZD1,FZD1,Fzd1,
454,FMO3,FMO3,Fmo3,
455,C6H6orf47,C6orf47,D17H6S53E,
456,P2RX6,P2RX6,P2rx6,
457,NUDT2,NUDT2,Nudt2,
458,TP53I13,TP53I13,Trp53i13,
459,LSM7,LSM7,Lsm7,
460,TRADD,TRADD,Tradd,
461,FRRS1L,FRRS1L,Frrs1l,
462,CXCR5,CXCR5,Cxcr5,
463,UBA6,UBA6,Uba6,
464,C18H20orf202,C20orf202,Tmem74bos,
465,CYREN,CYREN,Cyren,
466,SCAND1,SCAND1,Scand1,
467,CATSPERB,CATSPERB,Catsperb,
468,NDUFA4L2,NDUFA4L2,Ndufa4l2,
469,NUFIP1,NUFIP1,Nufip1,
470,FCHSD1,FCHSD1,Fchsd1,
471,C15H10orf71,C10orf71,3425401B19Rik,
472,ZMIZ2,ZMIZ2,Zmiz2,
473,CYP20A1,CYP20A1,Cyp20a1,
474,LOC105862829,ARMC9,Armc9,
475,STPG1,STPG1,Stpg1,
476,RAB39B,RAB39B,Rab39b,
477,TAS2R60,TAS2R60,Tas2r135,
478,MICU2,MICU2,Micu2,
479,TMEM129,TMEM129,Tmem129,
480,NDUFC1,NDUFC1,Ndufc1,
481,UBE2B,UBE2B,Ube2b,
482,TRPS1,TRPS1,Trps1,
483,NMS,NMS,Nms,
484,DDX54,DDX54,Ddx54,
485,HNF1A,HNF1A,Hnf1a,
486,PPTC7,PPTC7,Pptc7,
487,TMEM74B,TMEM74B,Tmem74b,
488,UBL4A,UBL4A,Ubl4a,
489,WDCP,WDCP,Wdcp,
490,CSMD3,CSMD3,Csmd3,
491,GLDN,GLDN,Gldn,
492,BRF1,BRF1,Brf1,
493,TET3,TET3,Tet3,
494,CREB3L4,CREB3L4,Creb3l4,
495,LRIT1,LRIT1,Lrit1,
496,TP53BP2,TP53BP2,Trp53bp2,
497,MAPK8,MAPK8,Mapk8,
498,TDRD3,TDRD3,Tdrd3,
499,VPS8,VPS8,Vps8,
500,RP1L1,RP1L1,Rp1l1,
501,IGSF22,IGSF22,LOC102637012,
502,NAP1L2,NAP1L2,Nap1l2,
503,MPO,MPO,Mpo,
504,WNT10A,WNT10A,Wnt10a,
505,MYBPHL,MYBPHL,Mybphl,
506,INTS4,INTS4,Ints4,
507,EIF4A2,EIF4A2,Eif4a2,
508,LOC105869687,INSR,Insr,
509,ZNF512B,ZNF512B,Zfp512b,
510,RHAG,RHAG,Rhag,
511,LMOD3,LMOD3,Lmod3,
512,COLGALT2,COLGALT2,Colgalt2,
513,PPP1R37,PPP1R37,Ppp1r37,
514,ALDH9A1,ALDH9A1,Aldh9a1,
515,LOC105879033,NEUROD6,Neurod6,
516,SF3A2,SF3A2,Sf3a2,
517,EPHX1,EPHX1,Ephx1,
518,KRR1,KRR1,Krr1,
519,FCRL1,FCRL1,Fcrl1,
520,MFAP2,MFAP2,Mfap2,
521,DGKK,DGKK,Dgkk,
522,ATP6V1G1,ATP6V1G1,Atp6v1g1,
523,PGAM2,PGAM2,Pgam2,
524,POU4F2,POU4F2,Pou4f2,
525,SF3B3,SF3B3,Sf3b3,
526,PRKD2,PRKD2,Prkd2,
527,TMEM42,TMEM42,Tmem42,
528,FCN2,FCN2,Fcnb,
529,APOBEC1,APOBEC1,Apobec1,
530,RNF138,RNF138,Rnf138,
531,ERGIC1,ERGIC1,Ergic1,
532,CERKL,CERKL,Cerkl,
533,NCSTN,NCSTN,Ncstn,
534,KCNA6,KCNA6,Kcna6,
535,GFY,GFY,Gfy,
536,TKT,TKT,Tkt,
537,TRAPPC12,TRAPPC12,Trappc12,
538,PPP1R14C,PPP1R14C,Ppp1r14c,
539,IGIP,IGIP,Igip,
540,GXYLT2,GXYLT2,Gxylt2,
541,DLL4,DLL4,Dll4,
542,C14H4orf45,C4orf45,Gm17359,
543,GPC1,GPC1,Gpc1,
544,BBS1,BBS1,Bbs1,
545,MEGF6,MEGF6,Megf6,
546,NKTR,NKTR,Nktr,
547,MRPL10,MRPL10,Mrpl10,
548,NSUN7,NSUN7,Nsun7,
549,MRPS18B,MRPS18B,Mrps18b,
550,GINS2,GINS2,Gins2,
551,SNX16,SNX16,Snx16,
552,EMILIN2,EMILIN2,Emilin2,
553,ZFP41,ZFP41,Zfp41,
554,IQCG,IQCG,Iqcg,
555,HYAL1,HYAL1,Hyal1,
556,PARVG,PARVG,Parvg,
557,DTX2,DTX2,Dtx2,
558,MYOM3,MYOM3,Myom3,
559,EXTL1,EXTL1,Extl1,
560,TMED5,TMED5,Tmed5,
561,RAB1B,RAB1B,Rab1b,
562,DHCR7,DHCR7,Dhcr7,
563,PRKAA2,PRKAA2,Prkaa2,
564,LRIG2,LRIG2,Lrig2,
565,MRPL35,MRPL35,Mrpl35,
566,ZNF496,ZNF496,Zkscan17,
567,NDC1,NDC1,Ndc1,
568,DISP3,DISP3,Disp3,
569,DCDC2C,DCDC2C,Dcdc2c,
570,COMMD4,COMMD4,Commd4,
571,FAM120A,FAM120A,Fam120a,
572,CHRM5,CHRM5,Chrm5,
573,NPFFR2,NPFFR2,Npffr2,
574,CACNB1,CACNB1,Cacnb1,
575,NDUFV3,NDUFV3,Ndufv3,
576,NEK10,NEK10,Nek10,
577,HDX,HDX,Hdx,
578,DARS2,DARS2,Dars2,
579,KRTDAP,KRTDAP,Krtdap,
580,TICAM1,TICAM1,Ticam1,
581,PPM1G,PPM1G,Ppm1g,
582,GAS1,GAS1,Gas1,
583,PRDM13,PRDM13,Prdm13,
584,PURA,PURA,Pura,
585,GFI1,GFI1,Gfi1,
586,YIPF5,YIPF5,Yipf5,
587,CDH13,CDH13,Cdh13,
588,TMEM61,TMEM61,Tmem61,
589,TOMM34,TOMM34,Tomm34,
590,RAB31,RAB31,Rab31,
591,SLC35F6,SLC35F6,Slc35f6,
592,SRP9,SRP9,Srp9,
593,NT5M,NT5M,Nt5m,
594,SYBU,SYBU,Sybu,
595,SYNRG,SYNRG,Synrg,
596,RASEF,RASEF,Rasef,
597,RASSF4,RASSF4,Rassf4,
598,GTF3C4,GTF3C4,Gtf3c4,
599,LIG4,LIG4,Lig4,
600,NTF3,NTF3,Ntf3,
601,CIT,CIT,Cit,
602,CENPE,CENPE,Cenpe,
603,KANK3,KANK3,Kank3,
604,JUP,JUP,Jup,
605,WBP2,WBP2,Wbp2,
606,APOA2,APOA2,Apoa2,
607,SPACA7,SPACA7,Spaca7,
608,KRT72,KRT72,Krt72,
609,USP1,USP1,Usp1,
610,RUNDC3A,RUNDC3A,Rundc3a,
611,LPCAT1,LPCAT1,Lpcat1,
612,USP9X,USP9X,Usp9x,
613,PKIB,PKIB,Pkib,
614,PDS5A,PDS5A,Pds5a,
615,TTC19,TTC19,Ttc19,
616,OGDH,OGDH,Ogdh,
617,CCDC27,CCDC27,Ccdc27,
618,DYNLT3,DYNLT3,Dynlt3,
619,CNTN2,CNTN2,Cntn2,
620,CCDC114,CCDC114,Ccdc114,
621,APEX1,APEX1,Apex1,
622,PJA2,PJA2,Pja2,
623,DDX17,DDX17,Ddx17,
624,AP5S1,AP5S1,Ap5s1,
625,BICRA,BICRA,Bicra,
626,RAPGEF4,RAPGEF4,Rapgef4,
627,FZD10,FZD10,Fzd10,
628,RAB3B,RAB3B,Rab3b,
629,ZMYND8,ZMYND8,Zmynd8,
630,UBAP1,UBAP1,Ubap1,
631,FTCD,FTCD,Ftcd,
632,PHLDB2,PHLDB2,Phldb2,
633,ANTXR2,ANTXR2,Antxr2,
634,RGPD4,RGPD4,Ranbp2,
635,AKAP14,AKAP14,Akap14,
636,SLC35C2,SLC35C2,Slc35c2,
637,L2HGDH,L2HGDH,L2hgdh,
638,WDR82,WDR82,Wdr82,
639,ENKUR,ENKUR,Enkur,
640,NME3,NME3,Nme3,
641,MPZL1,MPZL1,Mpzl1,
642,CMTM7,CMTM7,Cmtm7,
643,SMPD1,SMPD1,Smpd1,
644,RMDN2,RMDN2,Rmdn2,
645,ZNF384,ZNF384,Zfp384,
646,ATP2A1,ATP2A1,Atp2a1,
647,C22H19orf12,C19orf12,1600014C10Rik,
648,MACF1,MACF1,Macf1,
649,SLC16A2,SLC16A2,Slc16a2,
650,RASSF1,RASSF1,Rassf1,
651,SP4,SP4,Sp4,
652,TRANK1,TRANK1,Trank1,
653,CCT6A,CCT6A,Cct6a,
654,SORCS1,SORCS1,Sorcs1,
655,CHMP1A,CHMP1A,Chmp1a,
656,LOC105865849,RAB5IF,Rab5if,
657,FMO5,FMO5,Fmo5,
658,CRYBB1,CRYBB1,Crybb1,
659,SSH3,SSH3,Ssh3,
660,ACADS,ACADS,Acads,
661,PIAS2,PIAS2,Pias2,
662,PDCD2L,PDCD2L,Pdcd2l,
663,PGAP3,PGAP3,Pgap3,
664,SGTB,SGTB,Sgtb,
665,TMEM218,TMEM218,Tmem218,
666,FCRL5,FCRL5,Fcrl5,
667,CDHR3,CDHR3,Cdhr3,
668,ARL4D,ARL4D,Arl4d,
669,BEST3,BEST3,Best3,
